#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
28/05/2019;940,25;2,87%;34;3,75%;-16,75;-1,75%;9,65
24/05/2019;914;0,91%;-2;-0,22%;-39;-4,09%;3,03
23/05/2019;905,75;-0,77%;-0,25;-0,03%;-54;-5,63%;-2,57
22/05/2019;912,75;0,72%;-11,25;-1,22%;-62,25;-6,38%;2,39
21/05/2019;906,25;-1,06%;-13,5;-1,47%;-72,25;-7,38%;-3,58
20/05/2019;916;1,10%;0,25;0,03%;-60,75;-6,22%;3,67
17/05/2019;906;-1,95%;19,25;2,17%;-80;-8,11%;-6,61
16/05/2019;924;0,46%;30,5;3,41%;-72,75;-7,30%;1,56
15/05/2019;919,75;0,44%;22,75;2,54%;-73,25;-7,38%;1,47
14/05/2019;915,75;3,27%;4,25;0,47%;-77,25;-7,78%;10,66
13/05/2019;886,75;-0,76%;-28,25;-3,09%;-113;-11,30%;-2,48
10/05/2019;893,5;-0,39%;-21;-2,30%;-103;-10,34%;-1,29
09/05/2019;897;-1,59%;-29,5;-3,18%;-99,5;-9,98%;-5,33
08/05/2019;911,5;-0,38%;-16;-1,73%;-85,25;-8,55%;-1,29
07/05/2019;915;0,05%;-21;-2,24%;-89,25;-8,89%;0,18
06/05/2019;914,5;-1,30%;-23,75;-2,53%;-82;-8,23%;-4,41
03/05/2019;926,5;-0,11%;-18,5;-1,96%;-71,25;-7,14%;-0,37
02/05/2019;927,5;-0,91%;-23,75;-2,50%;-65,75;-6,62%;-3,12
01/05/2019;936;-0,24%;-21;-2,19%;-46;-4,68%;-0,83
30/04/2019;938,25;-0,71%;-14,75;-1,55%;-49;-4,96%;-2,48
29/04/2019;945;-0,66%;-14,75;-1,54%;-40,25;-4,09%;-2,30
26/04/2019;951,25;-0,60%;-23,75;-2,44%;-47,25;-4,73%;-2,11
25/04/2019;957;0,42%;-21,5;-2,20%;-47,25;-4,71%;1,47
24/04/2019;953;-0,70%;-23,75;-2,43%;-48,5;-4,84%;-2,48
23/04/2019;959,75;-1,56%;-26,25;-2,66%;-48,5;-4,81%;-5,60
22/04/2019;975;-0,36%;-21,75;-2,18%;-28,75;-2,86%;-1,29
18/04/2019;978,5;0,18%;-14,5;-1,46%;-23,25;-2,32%;0,64
17/04/2019;976,75;-0,94%;-16,25;-1,64%;-26,75;-2,67%;-3,40
16/04/2019;986;-1,08%;-13,75;-1,38%;-21;-2,09%;-3,95
15/04/2019;996,75;0,38%;0,25;0,03%;0,5;0,05%;1,38
12/04/2019;993;0,00%;-3,5;-0,35%;-5,75;-0,58%;0,00
11/04/2019;993;-0,68%;-3,75;-0,38%;-1,75;-0,18%;-2,48
10/04/2019;999,75;0,33%;-4,5;-0,45%;12;1,21%;1,19
09/04/2019;996,5;0,00%;0;0,00%;3;0,30%;0,00
08/04/2019;996,5;-0,03%;-1,25;-0,13%;-3,75;-0,37%;-0,09
05/04/2019;996,75;-0,75%;3,5;0,35%;-3;-0,30%;-2,76
04/04/2019;1004,25;0,78%;22,25;2,27%;-7,25;-0,72%;2,85
03/04/2019;996,5;-0,13%;9,25;0,94%;-17,25;-1,70%;-0,46
02/04/2019;997,75;0,45%;12,5;1,27%;-11,5;-1,14%;1,65
01/04/2019;993,25;1,15%;-5,25;-0,53%;-14,75;-1,46%;4,13
29/03/2019;982;-0,53%;-22,25;-2,22%;-32,5;-3,20%;-1,93
28/03/2019;987,25;0,20%;-14,25;-1,42%;-27,5;-2,71%;0,73
27/03/2019;985,25;-1,33%;-23;-2,28%;-37,5;-3,67%;-4,87
26/03/2019;998,5;-0,57%;-5,25;-0,52%;-23;-2,25%;-2,11
25/03/2019;1004,25;0,27%;2,5;0,25%;-17,75;-1,74%;1,01
22/03/2019;1001,5;-0,67%;-2;-0,20%;-12,25;-1,21%;-2,48
21/03/2019;1008,25;0,45%;1,25;0,12%;-4;-0,40%;1,65
20/03/2019;1003,75;0,20%;7,5;0,75%;-15,5;-1,52%;0,73
19/03/2019;1001,75;-0,17%;3;0,30%;-13,75;-1,35%;-0,64
18/03/2019;1003,5;-0,35%;8,75;0,88%;-25;-2,43%;-1,29
15/03/2019;1007;1,08%;19,25;1,95%;-22,5;-2,19%;3,95
14/03/2019;996,25;-0,25%;2,75;0,28%;-20,75;-2,04%;-0,92
13/03/2019;998,75;0,40%;-1,5;-0,15%;-27,75;-2,70%;1,47
12/03/2019;994,75;0,71%;-5;-0,50%;-30,5;-2,97%;2,57
11/03/2019;987,75;-0,58%;-23,75;-2,35%;-46;-4,45%;-2,11
08/03/2019;993,5;-0,67%;-20,25;-2,00%;-38,75;-3,75%;-2,48
07/03/2019;1000,25;0,05%;-9;-0,89%;-30,25;-2,94%;0,18
06/03/2019;999,75;-1,16%;-8,25;-0,82%;-30;-2,91%;-4,32
05/03/2019;1011,5;-0,22%;-3;-0,30%;-15,75;-1,53%;-0,83
04/03/2019;1013,75;0,45%;-1;-0,10%;-19,25;-1,86%;1,65
01/03/2019;1009,25;0,12%;-13,5;-1,32%;-21,75;-2,11%;0,46
28/02/2019;1008;-0,64%;-13,5;-1,32%;-27,25;-2,63%;-2,39
27/02/2019;1014,5;-0,02%;-7,5;-0,73%;-22,75;-2,19%;-0,09
26/02/2019;1014,75;-0,78%;1;0,10%;-13,25;-1,29%;-2,94
25/02/2019;1022,75;0,12%;10,5;1,04%;-4,25;-0,41%;0,46
22/02/2019;1021,5;-0,05%;2,25;0,22%;0,25;0,02%;-0,18
21/02/2019;1022;0,81%;6,5;0,64%;-6,75;-0,66%;3,03
20/02/2019;1013,75;0,15%;-14,75;-1,43%;-6;-0,59%;0,55
19/02/2019;1012,25;-0,69%;-17,25;-1,68%;5,75;0,57%;-2,57
15/02/2019;1019,25;0,37%;2,25;0,22%;14;1,39%;1,38
